storm,plan,river,removal_k10_g,removal_km_g,removal_k90_g,order,percentRest,k10_percentWLR,km_percentWLR,k90_percentWLR,k10_percentOLR,km_percentOLR,k90_percentOLR,rank
Q2,2nd-80p,3-1,109.377,995.817,21222.338,3rd,80,0.003,0.025,0.532,0.016,0.146,3.119,NA
Q2,2nd-80p,4-1,702.1,6389.372,136166.94,4th,80,0.018,0.16,3.416,0.019,0.176,3.761,NA
Q2,unr,1-7,12.735,115.949,2471.04,1st,0,0,0.003,0.062,0.009,0.082,1.741,NA
Q2,unr,2-2,30.98,282.056,6011.021,2nd,0,0.001,0.007,0.151,0.026,0.234,4.985,NA
Q2,unr,3-1,98.24,894.424,19061.494,3rd,0,0.002,0.022,0.478,0.014,0.131,2.801,NA
Q2,unr,4-1,686.102,6243.626,133060.882,4th,0,0.017,0.157,3.338,0.019,0.172,3.676,NA
Qm,2nd-100p,1-7,0,0,0,1st,100,0,0,0,0,0,0,NA
Qm,2nd-100p,2-2,11.203,102,2173.762,2nd,100,0.007,0.061,1.309,0.373,3.397,72.386,NA
Qm,2nd-100p,3-1,0,0,0,3rd,100,0,0,0,0,0,0,NA
Qm,2nd-100p,4-1,0,0,0,4th,100,0,0,0,0,0,0,NA
Qm,2nd-20p,1-7,0,0,0,1st,20,0,0,0,0,0,0,NA
Qm,2nd-20p,2-2,1.404,12.787,272.512,2nd,20,0.001,0.008,0.164,0.047,0.426,9.075,NA
Qm,2nd-20p,3-1,0,0,0,3rd,20,0,0,0,0,0,0,NA
Qm,2nd-20p,4-1,0,0,0,4th,20,0,0,0,0,0,0,NA
Qm,2nd-60p,1-7,0,0,0,1st,60,0,0,0,0,0,0,NA
Qm,2nd-60p,2-2,10.289,93.673,1996.312,2nd,60,0.006,0.056,1.202,0.343,3.119,66.477,NA
Qm,2nd-60p,3-1,0,0,0,3rd,60,0,0,0,0,0,0,NA
Qm,2nd-60p,4-1,0,0,0,4th,60,0,0,0,0,0,0,NA
Qm,2nd-80p,1-7,0,0,0,1st,80,0,0,0,0,0,0,NA
Qm,2nd-80p,2-2,12.706,115.679,2465.288,2nd,80,0.008,0.07,1.484,0.423,3.852,82.094,NA
Qm,2nd-80p,3-1,0,0,0,3rd,80,0,0,0,0,0,0,NA
Qm,2nd-80p,4-1,0,0,0,4th,80,0,0,0,0,0,0,NA
Qm,unr,1-7,0,0,0,1st,0,0,0,0,0,0,0,NA
Qm,unr,2-2,0,0,0,2nd,0,0,0,0,0,0,0,NA
Qm,unr,3-1,0,0,0,3rd,0,0,0,0,0,0,0,NA
Qm,unr,4-1,0,0,0,4th,0,0,0,0,0,0,0,NA
Q2,3rd-100p,1-7,12.735,115.949,2471.04,1st,100,0,0.003,0.062,0.009,0.082,1.741,1
Q2,3rd-100p,2-2,31.067,282.845,6027.84,2nd,100,0.001,0.007,0.151,0.026,0.235,4.999,1
Q2,3rd-100p,3-1,626.693,5705.711,121597.125,3rd,100,0.016,0.143,3.05,0.092,0.839,17.871,1
Q2,3rd-100p,4-1,717.359,6527.912,139119.435,4th,100,0.018,0.164,3.49,0.02,0.18,3.843,1
Q2,3rd-20p,1-7,12.735,115.949,2471.04,1st,20,0,0.003,0.062,0.009,0.082,1.741,1
Q2,3rd-20p,2-2,30.963,281.898,6007.658,2nd,20,0.001,0.007,0.151,0.026,0.234,4.982,1
Q2,3rd-20p,3-1,164.368,1496.483,31892.25,3rd,20,0.004,0.038,0.8,0.024,0.22,4.687,1
Q2,3rd-20p,4-1,690.007,6279.174,133818.457,4th,20,0.017,0.158,3.357,0.019,0.173,3.696,1
Q2,3rd-40p,1-7,12.735,115.949,2471.04,1st,40,0,0.003,0.062,0.009,0.082,1.741,1
Q2,3rd-40p,2-2,30.963,281.898,6007.658,2nd,40,0.001,0.007,0.151,0.026,0.234,4.982,1
Q2,3rd-40p,3-1,239.912,2184.277,46550.156,3rd,40,0.006,0.055,1.168,0.035,0.321,6.841,1
Q2,3rd-40p,4-1,695.579,6329.805,134897.49,4th,40,0.017,0.159,3.384,0.019,0.175,3.726,1
Q2,3rd-60p,1-7,12.735,115.949,2471.04,1st,60,0,0.003,0.062,0.009,0.082,1.741,1
Q2,3rd-60p,2-2,30.963,281.898,6007.658,2nd,60,0.001,0.007,0.151,0.026,0.234,4.982,1
Q2,3rd-60p,3-1,354.131,3224.174,68711.906,3rd,60,0.009,0.081,1.724,0.052,0.474,10.098,1
Q2,3rd-60p,4-1,703.978,6406.281,136527.3,4th,60,0.018,0.161,3.425,0.019,0.177,3.771,1
Q2,3rd-80p,1-7,12.735,115.949,2471.04,1st,80,0,0.003,0.062,0.009,0.082,1.741,1
Q2,3rd-80p,2-2,31.067,282.845,6027.84,2nd,80,0.001,0.007,0.151,0.026,0.235,4.999,1
Q2,3rd-80p,3-1,490.887,4469.272,95246.775,3rd,80,0.012,0.112,2.389,0.072,0.657,13.998,1
Q2,3rd-80p,4-1,712.484,6483.621,138175.538,4th,80,0.018,0.163,3.466,0.02,0.179,3.817,1
