,storm,plan,river,removal_k10_g,removal_km_g,removal_k90_g,order,percentRest,sort_storm,sort_order,,
253,Qm,3rd-20p,7-Jan,0,0,0,1st,20,0,3,,
254,Qm,3rd-20p,2-Feb,0,0,0,2nd,20,0,3,,
255,Qm,3rd-20p,1-Mar,0,0,0,3rd,20,0,3,,
256,Qm,3rd-20p,1-Apr,0,0,0,4th,20,0,3,,
257,Qm,3rd-40p,7-Jan,0,0,0,1st,40,0,3,,
258,Qm,3rd-40p,2-Feb,0,0,0,2nd,40,0,3,,
259,Qm,3rd-40p,1-Mar,0,0,0,3rd,40,0,3,,
260,Qm,3rd-40p,1-Apr,0,0,0,4th,40,0,3,,
261,Qm,3rd-60p,7-Jan,0,0,0,1st,60,0,3,,
262,Qm,3rd-60p,2-Feb,0,0,0,2nd,60,0,3,,
263,Qm,3rd-60p,1-Mar,0,0,0,3rd,60,0,3,,
264,Qm,3rd-60p,1-Apr,0,0,0,4th,60,0,3,,
265,Qm,3rd-80p,7-Jan,0,0,0,1st,80,0,3,,
266,Qm,3rd-80p,2-Feb,0,0,0,2nd,80,0,3,,
267,Qm,3rd-80p,1-Mar,0,0,0,3rd,80,0,3,,
268,Qm,3rd-80p,1-Apr,0,0,0,4th,80,0,3,,
269,Qm,unr,7-Jan,0,0,0,1st,0,0,0,,
270,Qm,unr,2-Feb,0,0,0,2nd,0,0,0,,
271,Qm,unr,1-Mar,0,0,0,3rd,0,0,0,,
272,Qm,unr,1-Apr,0,0,0,4th,0,0,0,,
273,Q0.5,4th-100p,7-Jan,1.39293,12.6819,270.27,1st,100,0.5,4,,
274,Q0.5,4th-100p,2-Feb,0.05200875,0.4735125,10.09125,2nd,100,0.5,4,,
275,Q0.5,4th-100p,1-Mar,0,0,0,3rd,100,0.5,4,,
276,Q0.5,4th-100p,1-Apr,2176.2806,19806.46363,422104.9625,4th,100,0.5,4,,
277,Q0.5,4th-20p,7-Jan,1.39293,12.6819,270.27,1st,20,0.5,4,,
278,Q0.5,4th-20p,2-Feb,0.05200875,0.4735125,10.09125,2nd,20,0.5,4,,
279,Q0.5,4th-20p,1-Mar,0,0,0,3rd,20,0.5,4,,
280,Q0.5,4th-20p,1-Apr,241.9988075,2203.272725,46954.9925,4th,20,0.5,4,,
281,Q0.5,4th-40p,7-Jan,1.39293,12.6819,270.27,1st,40,0.5,4,,
282,Q0.5,4th-40p,2-Feb,0.05200875,0.4735125,10.09125,2nd,40,0.5,4,,
283,Q0.5,4th-40p,1-Mar,0,0,0,3rd,40,0.5,4,,
284,Q0.5,4th-40p,1-Apr,530.9507125,4834.028875,103020.2875,4th,40,0.5,4,,
285,Q0.5,4th-60p,7-Jan,1.39293,12.6819,270.27,1st,60,0.5,4,,
286,Q0.5,4th-60p,2-Feb,0.05200875,0.4735125,10.09125,2nd,60,0.5,4,,
287,Q0.5,4th-60p,1-Mar,0,0,0,3rd,60,0.5,4,,
288,Q0.5,4th-60p,1-Apr,965.9934375,8794.865625,187431.5625,4th,60,0.5,4,,
289,Q0.5,4th-80p,7-Jan,1.39293,12.6819,270.27,1st,80,0.5,4,,
290,Q0.5,4th-80p,2-Feb,0.05200875,0.4735125,10.09125,2nd,80,0.5,4,,
291,Q0.5,4th-80p,1-Mar,0,0,0,3rd,80,0.5,4,,
292,Q0.5,4th-80p,1-Apr,1517.663063,13817.52938,294471.9375,4th,80,0.5,4,,
293,Q0.5,unr,7-Jan,0,0,0,1st,0,0.5,0,,
294,Q0.5,unr,2-Feb,0.05200875,0.4735125,10.09125,2nd,0,0.5,0,,
295,Q0.5,unr,1-Mar,0.316575,2.88225,61.425,3rd,0,0.5,0,,
296,Q0.5,unr,1-Apr,5.128515,46.69245,995.085,4th,0,0.5,0,,
297,Q1,4th-100p,7-Jan,3.813975,34.72425,740.025,1st,100,1,4,,
298,Q1,4th-100p,2-Feb,10.83515625,98.6484375,2102.34375,2nd,100,1,4,,
299,Q1,4th-100p,1-Mar,48.20985,438.9255,9354.15,3rd,100,1,4,,
