reach,STA,profile,hr,min,RtopW_ft,LtopW_ft
1,138450,1-Sep-08,12,5,,
1,138450,1-Sep-08,12,10,,
1,138450,1-Sep-08,12,15,,
1,138450,1-Sep-08,12,20,,
1,138450,1-Sep-08,12,25,,
1,138450,1-Sep-08,12,30,,
1,138450,1-Sep-08,12,35,,
1,138450,1-Sep-08,12,40,,
1,138450,1-Sep-08,12,45,,
1,138450,1-Sep-08,12,50,,
1,138450,1-Sep-08,12,55,,
1,138450,1-Sep-08,13,0,,
1,138450,1-Sep-08,13,5,,
1,138450,1-Sep-08,13,10,,
1,138450,1-Sep-08,13,15,,
1,138450,1-Sep-08,13,20,,
1,138450,1-Sep-08,13,25,,
1,138450,1-Sep-08,13,30,,
1,138450,1-Sep-08,13,35,,
1,138450,1-Sep-08,13,40,,
1,138450,1-Sep-08,13,45,,
1,138450,1-Sep-08,13,50,,
1,138450,1-Sep-08,13,55,,
1,138450,1-Sep-08,14,0,,
1,138450,1-Sep-08,14,5,,
1,138450,1-Sep-08,14,10,,
1,138450,1-Sep-08,14,15,,
1,138450,1-Sep-08,14,20,,
1,138450,1-Sep-08,14,25,,
1,138450,1-Sep-08,14,30,,
1,138450,1-Sep-08,14,35,,
1,138450,1-Sep-08,14,40,,
1,138450,1-Sep-08,14,45,,
1,138450,1-Sep-08,14,50,,
1,138450,1-Sep-08,14,55,,
1,138450,1-Sep-08,15,0,,
1,138450,1-Sep-08,15,5,,
1,138450,1-Sep-08,15,10,,
1,138450,1-Sep-08,15,15,,
1,138450,1-Sep-08,15,20,,
1,138450,1-Sep-08,15,25,,
1,138450,1-Sep-08,15,30,,
1,138450,1-Sep-08,15,35,,
1,138450,1-Sep-08,15,40,,
1,138450,1-Sep-08,15,45,,
1,138450,1-Sep-08,15,50,,
1,138450,1-Sep-08,15,55,,
1,138450,1-Sep-08,16,0,,
1,138450,1-Sep-08,16,5,,
1,138450,1-Sep-08,16,10,,
1,138450,1-Sep-08,16,15,,
1,138450,1-Sep-08,16,20,,
1,138450,1-Sep-08,16,25,,
1,138450,1-Sep-08,16,30,,
1,138450,1-Sep-08,16,35,,
1,138450,1-Sep-08,16,40,,
1,138450,1-Sep-08,16,45,,
1,138450,1-Sep-08,16,50,,
1,138450,1-Sep-08,16,55,,
1,138450,1-Sep-08,17,0,,
1,138450,1-Sep-08,17,5,,
1,138450,1-Sep-08,17,10,,
1,138450,1-Sep-08,17,15,,
1,138450,1-Sep-08,17,20,,
1,138450,1-Sep-08,17,25,,
1,138450,1-Sep-08,17,30,,
1,138450,1-Sep-08,17,35,,
1,138450,1-Sep-08,17,40,,
1,138450,1-Sep-08,17,45,,
1,138450,1-Sep-08,17,50,,
1,138450,1-Sep-08,17,55,,
1,138450,1-Sep-08,18,0,,
1,138450,1-Sep-08,18,5,,
1,138450,1-Sep-08,18,10,,
1,138450,1-Sep-08,18,15,,
1,138450,1-Sep-08,18,20,,
1,138450,1-Sep-08,18,25,,
1,138450,1-Sep-08,18,30,,
1,138450,1-Sep-08,18,35,,
1,138450,1-Sep-08,18,40,,
1,138450,1-Sep-08,18,45,,
1,138450,1-Sep-08,18,50,,
1,138450,1-Sep-08,18,55,,
1,138450,1-Sep-08,19,0,,
1,138450,1-Sep-08,19,5,,
1,138450,1-Sep-08,19,10,,
1,138450,1-Sep-08,19,15,,
1,138450,1-Sep-08,19,20,,
1,138450,1-Sep-08,19,25,,
1,138450,1-Sep-08,19,30,,
1,138450,1-Sep-08,19,35,,
